scenario,farm_type,number_of_farms,amr_production_losses_at_farm_level_median,amr_production_losses_at_farm_level_95_pct_ile,amr_production_losses_at_farm_level_5_pct_ile,amr_production_losses_at_pop_level_median,amr_production_losses_at_pop_level_95_pct_ile,amr_production_losses_at_pop_level_5_pct_ile,amr_health_expenditure_at_pop_level_median,amr_health_expenditure_at_pop_level_95_pct_ile,amr_health_expenditure_at_pop_level_5_pct_ile,amr_total_burden_at_pop_level_median,amr_total_burden_at_pop_level_95_pct_ile,amr_total_burden_at_pop_level_5_pct_ile,production_stage,population_ahle_median,population_ahle_5_pct__percentile,population_ahle_95_pct__percentile,ahle_at_pop_level_withoutamr_median,ahle_at_pop_level_withoutamr_errhigh,ahle_at_pop_level_withoutamr_errlow,amr_production_losses_at_pop_level_errhigh,amr_production_losses_at_pop_level_errlow,amr_health_expenditure_at_pop_level_errhigh,amr_health_expenditure_at_pop_level_errlow,amr_total_burden_at_pop_level_errhigh,amr_total_burden_at_pop_level_errlow,amr_total_burden_at_pop_level_median_pctofahle,amr_total_burden_at_pop_level_5pctile_pctofahle,amr_total_burden_at_pop_level_95pctile_pctofahle,biomass_kg
Average,Breed,986.271844193741,17936.03929418156,342823.11191051395,-307029.7251591741,17689810.552203853,338116782.81621987,-302814773.2550361,,,,17689810.552203853,338116782.81621987,-302814773.2550361,Breeding,4147189637.4599733,3799746438.731773,4499456508.711927,4129499826.9077697,352266871.2519541,347443198.72820044,320426972.26401603,320504583.80723995,,,320426972.26401603,320504583.80723995,0.0042654935266086165,-0.07301686195389437,0.08152913475721985,207117087
Average,Nurse,1991.85480102631,82097.31508914239,103503.35772747867,61286.64787164131,163525931.211678,206163660.01182202,122074103.80193762,,,,163525931.211678,206163660.01182202,122074103.80193762,Rearing,1381511615.1715894,1315019812.7095423,1447171527.8463204,1217985683.9599113,65659912.674731016,66491802.4620471,42637728.80014402,41451827.40974037,,,42637728.80014402,41451827.40974037,0.11836739511695485,0.08836270535935778,0.1492304934303543,423993600
Average,Fat,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,,,,-0.0,-0.0,-0.0,Fattening,2232583160.6021614,2060864582.428057,2406802806.4749675,2232583160.6021614,174219645.87280607,171718578.17410445,0.0,0.0,,,0.0,0.0,-0.0,-0.0,-0.0,1973207040
Average,Total,2978.126645220051,,,,181215741.76388186,544280442.8280419,-180740669.45309848,30732654.23,79746577.52,7686729.46,211948395.99388185,624027020.3480419,-173053939.99309847,TOTAL,7761284413.233725,7175630833.869371,8353430843.033215,7549336017.239842,592146429.79949,585653579.3643532,363064701.06416005,361956411.21698034,49013923.28999999,23045924.77,412078624.3541601,385002335.9869803,0.027308417616095832,-0.02229707491430479,0.08040254513595929,2604317727
Worse,Breed,986.271844193741,45995.15960044142,372641.25477120664,-279630.1652810685,45363730.88311281,367525577.56586766,-275791358.80396,,,,45363730.88311281,367525577.56586766,-275791358.80396,Breeding,4147189637.4599733,3799746438.731773,4499456508.711927,4101825906.5768604,352266871.2519541,347443198.72820044,322161846.6827549,321155089.6870728,,,322161846.6827549,321155089.6870728,0.010938426946614553,-0.06650078315996029,0.08862039349398207,207117087
Worse,Nurse,1991.85480102631,159770.30017354043,181262.93971345847,138864.48466514103,318239239.4620812,361049456.71639484,276597890.4723056,,,,318239239.4620812,361049456.71639484,276597890.4723056,Rearing,1381511615.1715894,1315019812.7095423,1447171527.8463204,1063272375.7095082,65659912.674731016,66491802.4620471,42810217.25431365,41641348.9897756,,,42810217.25431365,41641348.9897756,0.23035581892125792,0.20021394495329742,0.2613437721054202,423993600
Worse,Fat,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,,,,-0.0,-0.0,-0.0,Fattening,2232583160.6021614,2060864582.428057,2406802806.4749675,2232583160.6021614,174219645.87280607,171718578.17410445,0.0,0.0,,,0.0,0.0,-0.0,-0.0,-0.0,1973207040
Worse,Total,2978.126645220051,,,,363602970.345194,728575034.2822626,806531.6683455706,30732654.23,79746577.52,7686729.46,394335624.575194,808321611.8022625,8493261.128345571,TOTAL,7761284413.233725,7175630833.869371,8353430843.033215,7366948788.65853,592146429.79949,585653579.3643532,364972063.9370686,362796438.6768484,49013923.28999999,23045924.77,413985987.22706854,385842363.44684845,0.050808036863436476,0.0010943112861401855,0.10414791789152807,2604317727
Best,Breed,986.271844193741,342.798962523505,325704.5635157126,-320665.9413885396,338092.96495575836,321233240.5209593,-316263789.38339704,,,,338092.96495575836,321233240.5209593,-316263789.38339704,Breeding,4147189637.4599733,3799746438.731773,4499456508.711927,4146851544.4950175,352266871.2519541,347443198.72820044,320895147.5560036,316601882.3483528,,,320895147.5560036,316601882.3483528,8.152339162450984e-05,-0.07625978482553765,0.07745805439408478,207117087
Best,Nurse,1991.85480102631,28162.15887515434,49667.97683888982,7141.021030231903,56094931.36274188,98931398.12380627,14223877.023297263,,,,56094931.36274188,98931398.12380627,14223877.023297263,Rearing,1381511615.1715894,1315019812.7095423,1447171527.8463204,1325416683.8088474,65659912.674731016,66491802.4620471,42836466.76106439,41871054.339444615,,,42836466.76106439,41871054.339444615,0.04060402442275135,0.010295879431698155,0.07161097817590088,423993600
Best,Fat,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,,,,-0.0,-0.0,-0.0,Fattening,2232583160.6021614,2060864582.428057,2406802806.4749675,2232583160.6021614,174219645.87280607,171718578.17410445,0.0,0.0,,,0.0,0.0,-0.0,-0.0,-0.0,1973207040
Best,Total,2978.126645220051,,,,56433024.32769764,420164638.6447656,-302039912.3600998,30732654.23,79746577.52,7686729.46,87165678.55769764,499911216.1647656,-294353182.9000998,TOTAL,7761284413.233725,7175630833.869371,8353430843.033215,7674118734.676027,592146429.79949,585653579.3643532,363731614.317068,358472936.6877974,49013923.28999999,23045924.77,412745537.60706794,381518861.45779747,0.01123083164032385,-0.037925833821809155,0.06441088736709219,2604317727
